"Endpoint RX Packet Loss Percentage",
Date,"cv_udp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_udp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",
"2022-05-12T07:20:47.801 UTC",0,"2022-05-12T07:20:49.080 UTC",0,"2022-05-12T07:22:50.515 UTC",0,"2022-05-12T07:22:50.515 UTC",0,
"2022-05-12T07:20:49.080 UTC",0,"2022-05-12T07:20:50.472 UTC",0,"2022-05-12T07:22:51.929 UTC",0,"2022-05-12T07:22:51.929 UTC",0,
"2022-05-12T07:20:50.472 UTC",0,"2022-05-12T07:20:51.883 UTC",0,"2022-05-12T07:22:53.120 UTC",0,"2022-05-12T07:22:53.120 UTC",0,
"2022-05-12T07:20:51.883 UTC",0,"2022-05-12T07:20:53.041 UTC",0,"2022-05-12T07:22:54.305 UTC",0,"2022-05-12T07:22:54.305 UTC",0,
"2022-05-12T07:20:53.041 UTC",0,"2022-05-12T07:20:54.193 UTC",0,"2022-05-12T07:22:55.950 UTC",0,"2022-05-12T07:22:55.950 UTC",0,
"2022-05-12T07:20:54.193 UTC",1.53302,"2022-05-12T07:20:55.812 UTC",0,"2022-05-12T07:22:57.343 UTC",0,"2022-05-12T07:22:57.343 UTC",0,
"2022-05-12T07:20:55.812 UTC",1.48381,"2022-05-12T07:20:57.169 UTC",0,"2022-05-12T07:22:58.525 UTC",0,"2022-05-12T07:22:58.525 UTC",0,
"2022-05-12T07:20:57.169 UTC",0,"2022-05-12T07:20:58.552 UTC",0,"2022-05-12T07:22:59.704 UTC",0,"2022-05-12T07:22:59.704 UTC",0,
"2022-05-12T07:20:58.552 UTC",0,"2022-05-12T07:20:59.731 UTC",0,"2022-05-12T07:23:01.252 UTC",0,"2022-05-12T07:23:01.252 UTC",0,
"2022-05-12T07:20:59.731 UTC",0,"2022-05-12T07:21:01.148 UTC",0,"2022-05-12T07:23:02.666 UTC",0,"2022-05-12T07:23:02.666 UTC",0,
